id,City,Country,Station_Id,Station_Name,Latitude,Longitude,Timestamp,Total_Available_Slots,Total_Available_Free_Bikes,Total_Available_EBikes,Total_Available_Normal_Bikes,Total_Available_Empty_Slots
1,Vancouver,CA,7a19c49f486d7c0c02b3685d7b240448,10th & Cambie,49.262487,-123.114397,2023-12-17T22:12:48.876000Z,36,29,1,28,5
1,Vancouver,CA,32603a87cfca71d0f7dfa3513bad69d5,Yaletown-Roundhouse Station,49.274566,-123.121817,2023-12-17T22:12:48.865000Z,16,12,4,8,4
1,Vancouver,CA,6d42fa40360f9a6b2bf641c7b8bb2862,Dunsmuir & Beatty,49.279764,-123.110154,2023-12-17T22:12:48.866000Z,26,18,3,15,8
1,Vancouver,CA,66f873d641d448bd1572ab086665a458,12th & Yukon (City Hall),49.260599,-123.113504,2023-12-17T22:12:48.867000Z,16,8,5,3,8
1,Vancouver,CA,485d4d24c803cfde829ab89699fed833,8th & Ash,49.264215,-123.117772,2023-12-17T22:12:48.886000Z,16,11,7,4,4
1,Vancouver,CA,b07d513f87897cff7319a0e59d7e567c,Spyglass & Seawall,49.270877,-123.115103,2023-12-17T22:12:48.887000Z,14,11,1,10,2
1,Vancouver,CA,d1c9556d92f329703229fb3e33899a3b,Stamps Landing,49.26893,-123.11813,2023-12-17T22:12:48.976000Z,14,11,2,9,3
1,Vancouver,CA,95e624191c655f50e401d280cd39a9ad,Ontario & Seawall,49.271721,-123.104207,2023-12-17T22:12:48.971000Z,20,7,2,5,13
1,Vancouver,CA,3e112f9fe877e0003780386359060ae6,Canada Place,49.287214,-123.11287,2023-12-17T22:12:48.968000Z,26,12,6,6,14
1,Vancouver,CA,6993b3dbb0758927967592ea612a2b1e,Granville & Georgia,49.282409,-123.118541,2023-12-17T22:12:48.966000Z,20,6,0,6,13
1,Vancouver,CA,bf8408067b0e0c963f3ff526977bcef3,Pender & Burrard,49.287097,-123.118551,2023-12-17T22:12:48.965000Z,26,16,0,16,9
1,Vancouver,CA,d2244f1a81d317c76cabd65e81250835,Marinaside & Davie,49.273471,-123.118016,2023-12-17T22:12:48.957000Z,22,22,3,19,0
1,Vancouver,CA,0b543fc4e694fe07a54dac48bb1b3390,Robson & Hornby,49.282758,-123.122092,2023-12-17T22:12:48.997000Z,30,16,0,16,14
1,Vancouver,CA,fbb1d30d7f30b049873f5be5688563d4,Hornby & Pender,49.28602,-123.116624,2023-12-17T22:12:49.204000Z,22,9,4,5,13
1,Vancouver,CA,7181df50ee1d1a05559399211382b7c8,Homer & Robson (Vancouver Public Library),49.279739,-123.116251,2023-12-17T22:12:49.224000Z,20,3,1,2,17
1,Vancouver,CA,b7683a86874e6300fd89f4cc0b075f57,Beatty & Nelson,49.275679,-123.116963,2023-12-17T22:12:49.192000Z,14,3,0,3,11
1,Vancouver,CA,3367c1e1dbf73caf7c10e4c96a92f58d,Abbott & Cordova,49.282759,-123.106955,2023-12-17T22:12:48.389000Z,22,11,1,10,11
1,Vancouver,CA,1d7e73b3321ebb6713774d376247d9f9,Comox & Denman,49.288444,-123.139203,2023-12-17T22:12:48.395000Z,18,18,3,15,0
1,Vancouver,CA,664502c28e8147615f17b8ea355f40d0,Cordova & Bute,49.289124,-123.12196,2023-12-17T22:12:48.376000Z,14,14,3,11,0
1,Vancouver,CA,6c24a62b5ee0a2a8014eb0dfb6d40025,Hornby & Nelson,49.28062,-123.12482,2023-12-17T22:12:48.378000Z,18,3,0,3,15
1,Vancouver,CA,fad9ebcf614dd1a72593a34072ff76f8,Helmcken & Burrard,49.279938,-123.127478,2023-12-17T22:12:48.359000Z,15,3,0,3,11
1,Vancouver,CA,3a4131fa94946d93d3529136efd62413,Pacific & Richards,49.273663,-123.127075,2023-12-17T22:12:48.464000Z,14,5,2,3,9
1,Vancouver,CA,25318ec3e06fae1397a3a2f645104149,Chilco & Beach,49.28972,-123.144028,2023-12-17T22:12:48.480000Z,14,12,2,10,1
1,Vancouver,CA,444991edc9550be0908f032da5e3c95f,Comox & Broughton,49.285253,-123.134356,2023-12-17T22:12:48.444000Z,12,4,0,4,8
1,Vancouver,CA,434b6f4e7fc30198f901b60fc905f609,Bute & Comox,49.283343,-123.131099,2023-12-17T22:12:48.533000Z,22,12,0,12,10
1,Vancouver,CA,f97d5bf41f35aa181288429fb52e3488,Cambie & Water,49.284605,-123.108662,2023-12-17T22:12:48.532000Z,32,10,0,10,22
1,Vancouver,CA,fef69fb400210d861107a61db954d037,Keefer & Abbott,49.279821,-123.10802,2023-12-17T22:12:48.530000Z,28,21,3,18,7
1,Vancouver,CA,9d3123425823420514b8ad410074f02d,Expo & Carrall,49.278004,-123.105664,2023-12-17T22:12:48.538000Z,16,14,2,12,2
